Element,Reaction,T_start,T_end,DeltaH (kJ/mol),DeltaS (kJ/mol·K)
Dy,4/3Dy +O2 = 2/3Dy2O3,2681.0,2840.0,-1239.7191999999552,-0.18877809523807912
Er,4/3Er +O2 = 2/3Er2O3,1770.0,2617.0,-1260.6309441128353,-0.1895754486513196
Er,4/3Er +O2 = 2/3Er2O3,2617.0,3141.0,-1260.6309441128258,-0.18957544865131576
Eu,2Eu +O2 = 2EuO,1090.0,1090.0,-512.5399999999997,0.4702201834862385
Eu,2Eu +O2 = 2EuO,1090.0,1800.0,-1215.0335999999975,-0.17426935779816355
Eu,2Eu +O2 = 2EuO,1800.0,1800.0,-450.6743779816515,0.2503746544342509
Eu,4/3Eu +O2 = 2/3Eu2O3,1090.0,1800.0,-1088.2583999999983,-0.19730055045871445
Eu,4/3Eu +O2 = 2/3Eu2O3,1800.0,2623.0,-1088.2583999999983,-0.19730055045871464
Fe,2Fe + O2 = 2FeO,1642.0,1809.0,-441.32932215568786,-0.07766706586826308
Fe,2Fe + O2 = 2FeO,1809.0,2000.0,-459.3396732984281,-0.08762303664921405
Ga,4/3Ga +O2 = 2/3Ga2O3,303.0,2073.0,-728.398942372881,-0.22220112994350288
Ga,4/3Ga +O2 = 2/3Ga2O3,2073.0,2676.0,-469.1492139303481,-0.09714096185737967
Gd,4/3Gd +O2 = 2/3Gd2O3,1558.0,2693.0,-1207.502399999999,-0.1850305519897298
Gd,4/3Gd +O2 = 2/3Gd2O3,2693.0,3523.0,-1207.5024000000067,-0.1850305519897328
Ge,2Ge + O2 = 2GeO(g),1210.0,2000.0,-167.29114936708928,0.09480202531645539
Ge,Ge + O2 = GeO2,1210.0,1389.0,-559.9781452513961,-0.21036871508379856
Ge,Ge + O2 = GeO2,1389.0,2500.0,-503.16836723672435,-0.16946894689468966
Hf,Hf + O2 = HfO2,2495.0,3013.0,-1381.6165714285728,-0.29885714285714327
Ho,4/3Ho +O2 = 2/3Ho2O3,1734.0,2688.0,-1248.9239999999984,-0.1874837370242201
Ho,4/3Ho +O2 = 2/3Ho2O3,2688.0,2993.0,-1248.9239999999988,-0.1874837370242206
In,4/3In + O2 = 2/3In2O3,429.0,2183.0,-619.0681226909921,-0.2044291904218928
In,4/3In + O2 = 2/3In2O3,2183.0,2364.0,-591.6360928176813,-0.19186298342541505
K,4K + O2 = 2K2O,336.0,980.0,-727.8340869565219,-0.28586335403726715
K,4K + O2 = 2K2O,980.0,1031.0,-688.8832941176468,-0.24611764705882316
K,4K + O2 = 2K2O,1031.0,1325.0,-919.3272653061225,-0.4696326530612248
K,4K + O2 = 2K2O,1325.0,2160.0,-768.4463427544913,-0.3557602586826348
Li,4Li + O2 = 2Li2O,453.0,1597.0,-1220.2979790209788,-0.31087412587412605
Li,4Li + O2 = 2Li2O,1597.0,2000.0,-1469.9440595533497,-0.4671960297766751
Mg,2Mg + O2 = 2MgO,923.0,1376.0,-1225.8104017660035,-0.24014128035319998
Mg,2Mg + O2 = 2MgO,1376.0,3125.0,-1428.6314648370483,-0.3875403087478556
Mn,2Mn + O2 = 2MnO,1517.0,2054.0,-803.9513147113593,-0.17141154562383615
Mn,2Mn + O2 = 2MnO,2054.0,2309.0,-755.1873882352936,-0.1476705882352939
Mn,2Mn + O2 = 2MnO,2309.0,2500.0,-894.7297801047094,-0.2081047120418838
Na,4Na + O2 = 2Na2O,371.0,1156.0,-843.1639439490449,-0.2878165605095545
Na,4Na + O2 = 2Na2O,1156.0,1193.0,-902.6131891891915,-0.3392432432432453
Na,4Na + O2 = 2Na2O,1193.0,1600.0,-1196.9529631449616,-0.5859656019656011
Na,4Na + O2 = 2Na2O,1600.0,2250.0,-897.9404701538463,-0.3990827938461539
Nb,2Nb + O2 = 2NbO,2218.0,3043.0,-800.5792387878789,-0.1572169696969698
Nb,2NbO + O2 = 2NbO2,3043.0,3188.0,-778.3480772413784,-0.1471613793103446
Nd,4/3Nd +O2 = 2/3Nd2O3,1297.0,2496.0,-1202.063200000001,-0.18839290670778824
Nd,4/3Nd +O2 = 2/3Nd2O3,2496.0,3373.0,-1202.0631999999987,-0.1883929067077873
Ni,2Ni + O2 = 2NiO,1725.0,2257.0,-457.5188270676695,-0.15729323308270693
Ni,2Ni + O2 = 2NiO,2257.0,2500.0,-471.6900411522619,-0.16357201646090475
P,4/5P + O2 = 2/5P2O5,631.0,704.0,-469.81161643835554,-0.11463013698630066
P,4/5P + O2 = 2/5P2O5,704.0,2500.0,-610.5192160356349,-0.314498886414254
Pb,2Pb + O2 = 2PbO,762.0,1159.0,-425.2187607052897,-0.17916372795969776
Pb,2Pb + O2 = 2PbO,1159.0,1745.0,-407.89716040955597,-0.16421843003412953
Pb,2Pb + O2 = 2PbO,1745.0,2016.0,40.31152767527684,0.09263468634686353
Pb,2Pb + O2 = 2PbO,2016.0,2500.0,-338.14327272727286,-0.09509090909090913
Pr,4/3Pr +O2 = 2/3Pr2O3,1208.0,2456.0,-1210.8496000000011,-0.1846086092715245
Pr,4/3Pr +O2 = 2/3Pr2O3,2456.0,3563.0,-1210.8495999999936,-0.18460860927152106
Pu,4/3Pu + O2 = 2/3Pu2O3,913.0,1880.0,-1075.0110858324713,-0.1600910031023784
Pu,4/3Pu + O2 = 2/3Pu2O3,1880.0,2500.0,-900.9096774193551,-0.067483870967742
Rb,4Rb + O2 = 2Rb2O,312.0,910.0,-669.0761739130437,-0.2938595317725756
Rb,4Rb + O2 = 2Rb2O,910.0,952.0,-492.3173333333339,-0.09961904761904836
Sb,4/3Sb +O2 = 2/3Sb2O3,904.0,928.0,-467.2133333333277,-0.17433333333332723
Sb,4/3Sb +O2 = 2/3Sb2O3,928.0,1698.0,-446.62298181818153,-0.15214545454545442
Sb,4/3Sb +O2 = 2/3Sb2O3,1698.0,1908.0,-628.0781714285705,-0.25900952380952347
Sb,4/3Sb +O2 = 2/3Sb2O3,1908.0,2380.0,-675.11152901017,-0.2836601305084748
